"StageID","StageNameSID"
"110503050","[World 7] Taehyul's Garden"
"110503060","[World 7] Underground Jail"
"110504010","[World 4] Sabuk Town"
"110504020","[World 4] Phantasia Desert"
"110504030","[World 4] Bladehaven 1F"
"110504040","[World 4] Bladehaven 2F"
"110504050","[World 4] Overlord Sealing Circle"
"110504060","[World 4] Dark Blood Monk"
"200022010","[Elite] Bicheon Castle Backstreet"
"200022020","[Elite] Nefariox Necropolis 1F"
"200022021","[Elite] Nefariox Necropolis 2F"
"200022030","[Elite] Nefariox Ruins 1F"
"200022031","[Elite] Nefariox Ruins 2F"
"200022040","[Elite] Demon Bull Temple 1F"
"200022041","[Elite] Demon Bull Temple 2F"
"200022042","[Elite] Demon Bull Temple 3F"
"200022050","[Elite] Upper Death Gorge"
"200022051","[Elite] Lower Death Gorge"
"200022070","[Elite] Abandoned Mine 1F"
"200022071","[Elite] Abandoned Mine 2F"
"200022072","[Elite] Abandoned Mine 3F"
"200022080","[Elite] Secret Mine 1F"
"200022081","[Elite] Secret Mine 2F"
"200022090","[Elite] Redmoon Gorge 1F"
"200022091","[Elite] Redmoon Gorge 2F"
"200022092","[Elite] Redmoon Gorge 3F"
"200022100","[Elite] Heaven's Way Peak Lower Level"
"200022101","[Elite] Heaven's Way Peak Mid Level"
"200022102","[Elite] Heaven's Way Peak Upper Level"
"200022110","[Elite] Viperbeast Plain"
"200022120","[Elite] Phantom Woods"
"200022130","[Elite] Redmoon Mountain"
"200022210","[Elite] Phantasia Desert"
"200022220","[Elite] Ant Hole 1F"
"200022221","[Elite] Ant Hole 2F"
"200022230","[Elite] Underground Jail"
"200022240","[Elite] Rockcut Tomb 1F"
"200022241","[Elite] Rockcut Tomb 2F"
"200022242","[Elite] Rockcut Tomb 3F"
"200022250","[Elite] Bladehaven 1F"
"200022251","[Elite] Bladehaven 2F"
"200022260","[Elite] Gorge Cave"
"200022270","[Elite] Great Sabuk Wall Camp"
"200022280","[Elite] Great Sabuk Wall Supply Depot"
"200022290","[Elite] Great Sabuk Wall Control Room"
"200022300","[Elite] Sagittarion Temple 1F"
"200022310","[Elite] Sagittarion Temple 2F"
"200022320","[Elite] Sagittarion Temple 3F"
"200022330","[Elite] Nine Dragon Ice Palace"
"200251010","Demon Bull God"
"200251020","Hell Rock Fiend"
"200251030","Redmoon Devil"
"200251502","Fox Spirit Beast"
"200251540","Infernal Abomination"
"200251610","Blue Thunder Dragon"
"200251650","Azure Flame Emperor"
"200251660","Sanguinary Serpent Scorpion"
"200251670","Soul-absorbing Demon Beast"
"200251680","Chakravarti Darkmaur"
"200300000","Grand Centipedeus"
"200400201","Twinway Maze"
"200400211","Hatchery Cave"
"200400221","Hidden Altar"
"200400231","Sabuk Execution Ground"
"200400301","Hall of Greed"
"200400401","Dusk Armado Lair"
"200400501","Demoniac Mine"
"200501020","Demon's Ruin"
"200501040","Crimson Dragon Nest"
"200501051","Wailing Abandoned Mine"
"200501100","Sinner's Den"
"200501400","Underground Jail"
"200501500","Claydoh GEN"
"200501910","Bullface Fiend King"
"200501920","Steelbone Spectre"
"200501930","Ghostly Bogey"
"200501940","Vipergeist Prison"
"200501950","Heavenly Asura"
"200501960","Forgotten Arena"
"200501970","Nefariox Celestial Overlord"
"200501980","Void Demon Tempering Facility"
"200610001","Inferno Chief"
"200610002","Triumphant Tiger Demon King"
"200610003","Fire Dragon Demon General"
"200610004","Blood-crazed Oddevil"
"200601010","Nefariox King"
"200601020","Deranged Hellbound Revenant"
"200601030","Chthonian Soul Fiend"
"200601040","Ethershade SpiderÂ Fiend"
"200601150","Dark Blood Monk"
"200601160","Forsaken King"
"200601170","Frothing Sagittarion"
"200700020","Clan Challenge Stage 1"
"200700030","Clan Challenge Stage 2"
"200700040","Clan Challenge Stage 3"
"200700050","Clan Challenge Stage 4"
"200700060","Clan Challenge Stage 5"
"200700070","Clan Challenge Stage 6"
"200700080","Clan Challenge Stage 7"
"200700090","Clan Challenge Stage 8"
"201003010","Bicheon Valley 1F"
"201003011","Bicheon Valley 2F"
"201003012","Bicheon Valley 3F"
"201003013","Bicheon Valley 4F"
"201003030","Snake Valley 1F"
"201003031","Snake Valley 2F"
"201003032","Snake Valley 3F"
"201003033","Snake Valley 4F"
"201003040","Redmoon Valley 1F"
"201003041","Redmoon Valley 2F"
"201003042","Redmoon Valley 3F"
"201003043","Redmoon Valley 4F"
"201004040","Phantasia Valley 1F"
"201004041","Phantasia Valley 2F"
"201004042","Phantasia Valley 3F"
"201004043","Phantasia Valley 4F"
"201004050","Sagittarion Valley 1F"
"201004051","Sagittarion Valley 2F"
"201004052","Sagittarion Valley 3F"
"201004053","Sagittarion Valley 4F"
"201300101","Magic Square 1F"
"201300102","[1F] Magic Stone Chamber I"
"201300103","[1F] Magic Stone Chamber II"
"201300104","[1F] Magic Stone Chamber III"
"201300105","[1F] Enhancement Chamber"
"201300106","[1F] Enhancement Chamber"
"201300107","[1F] Enhancement Chamber"
"201300108","[1F] Experience Chamber I"
"201300109","[1F] Experience Chamber II"
"201300110","[1F] Experience Chamber III"
"201300111","[1F] Gold Chamber I"
"201300112","[1F] Gold Chamber II"
"201300113","[1F] Gold Chamber III"
"201300114","[1F] Mining Chamber"
"201300115","[1F] Mining Chamber"
"201300116","[1F] Mining Chamber"
"201300117","[1F] Gathering Chamber"
"201300118","[1F] Gathering Chamber"
"201300119","[1F] Gathering Chamber"
"201300120","[1F] Energy Chamber"
"201300121","[1F] Energy Chamber"
"201300122","[1F] Leader's Chamber III"
"201300123","[1F] Leader's Chamber II"
"201300124","[1F] Leader's Chamber I"
"201300125","[1F] Treasure Chamber"
"201300126","[1F] Trade Chamber"
"201300127","[1F] Protection Chamber"
"201300128","[1F] Sealing Chamber"
"201300129","[1F] Demon's Chamber"
"201300130","[1F] Cooperation Chamber"
"201300131","[1F] Darksteel Chamber"
"201300132","[1F] Darksteel Chamber"
"201300133","[1F] Training Chamber I"
"201300134","[1F] Training Chamber II"
"201300135","[1F] White Silver Chamber I"
"201300136","[1F] White Silver Chamber II"
"201300201","Magic Square 2F"
"201300202","[2F] Magic Stone Chamber I"
"201300203","[2F] Magic Stone Chamber II"
"201300204","[2F] Magic Stone Chamber III"
"201300205","[2F] Enhancement Chamber"
"201300206","[2F] Enhancement Chamber"
"201300207","[2F] Enhancement Chamber"
"201300208","[2F] Experience Chamber I"
"201300209","[2F] Experience Chamber II"
"201300210","[2F] Experience Chamber III"
"201300211","[2F] Gold Chamber I"
"201300212","[2F] Gold Chamber II"
"201300213","[2F] Gold Chamber III"
"201300214","[2F] Mining Chamber"
"201300215","[2F] Mining Chamber"
"201300216","[2F] Mining Chamber"
"201300217","[2F] Gathering Chamber"
"201300218","[2F] Gathering Chamber"
"201300219","[2F] Gathering Chamber"
"201300220","[2F] Energy Chamber"
"201300221","[2F] Energy Chamber"
"201300222","[2F] Leader's Chamber III"
"201300223","[2F] Leader's Chamber II"
"201300224","[2F] Leader's Chamber I"
"201300225","[2F] Treasure Chamber"
"201300226","[2F] Trade Chamber"
"201300227","[2F] Protection Chamber"
"201300228","[2F] Sealing Chamber"
"201300229","[2F] Demon's Chamber"
"201300230","[2F] Cooperation Chamber"
"201300231","[2F] Darksteel Chamber"
"201300232","[2F] Darksteel Chamber"
"201300233","[2F] Training Chamber I"
"201300234","[2F] Training Chamber II"
"201300235","[2F] White Silver Chamber I"
"201300236","[2F] White Silver Chamber II"
"201300301","Magic Square 3F"
"201300302","[3F] Magic Stone Chamber I"
"201300303","[3F] Magic Stone Chamber II"
"201300304","[3F] Magic Stone Chamber III"
"201300305","[3F] Enhancement Chamber"
"201300306","[3F] Enhancement Chamber"
"201300307","[3F] Enhancement Chamber"
"201300308","[3F] Experience Chamber I"
"201300309","[3F] Experience Chamber II"
"201300310","[3F] Experience Chamber III"
"201300311","[3F] Gold Chamber I"
"201300312","[3F] Gold Chamber II"
"201300313","[3F] Gold Chamber III"
"201300314","[3F] Mining Chamber"
"201300315","[3F] Mining Chamber"
"201300316","[3F] Mining Chamber"
"201300317","[3F] Gathering Chamber"
"201300318","[3F] Gathering Chamber"
"201300319","[3F] Gathering Chamber"
"201300320","[3F] Energy Chamber"
"201300321","[3F] Energy Chamber"
"201300322","[3F] Leader's Chamber III"
"201300323","[3F] Leader's Chamber II"
"201300324","[3F] Leader's Chamber I"
"201300325","[3F] Treasure Chamber"
"201300326","[3F] Trade Chamber"
"201300327","[3F] Protection Chamber"
"201300328","[3F] Sealing Chamber"
"201300329","[3F] Demon's Chamber"
"201300330","[3F] Cooperation Chamber"
"201300331","[3F] Darksteel Chamber"
"201300332","[3F] Darksteel Chamber"
"201300333","[3F] Training Chamber I"
"201300334","[3F] Training Chamber II"
"201300335","[3F] White Silver Chamber I"
"201300336","[3F] White Silver Chamber II"
"201300401","Magic Square 4F"
"201300402","[4F] Magic Stone Chamber I"
"201300403","[4F] Magic Stone Chamber II"
"201300404","[4F] Magic Stone Chamber III"
"201300405","[4F] Enhancement Chamber"
"201300406","[4F] Enhancement Chamber"
"201300407","[4F] Enhancement Chamber"
"201300408","[4F] Experience Chamber I"
"201300409","[4F] Experience Chamber II"
"201300410","[4F] Experience Chamber III"
"201300411","[4F] Gold Chamber I"
"201300412","[4F] Gold Chamber II"
"201300413","[4F] Gold Chamber III"
"201300414","[4F] Mining Chamber"
"201300415","[4F] Mining Chamber"
"201300416","[4F] Mining Chamber"
"201300417","[4F] Gathering Chamber"
"201300418","[4F] Gathering Chamber"
"201300419","[4F] Gathering Chamber"
"201300420","[4F] Energy Chamber"
"201300421","[4F] Energy Chamber"
"201300422","[4F] Leader's Chamber III"
"201300423","[4F] Leader's Chamber II"
"201300424","[4F] Leader's Chamber I"
"201300425","[4F] Treasure Chamber"
"201300426","[4F] Trade Chamber"
"201300427","[4F] Protection Chamber"
"201300428","[4F] Sealing Chamber"
"201300429","[4F] Demon's Chamber"
"201300430","[4F] Cooperation Chamber"
"201300431","[4F] Darksteel Chamber"
"201300432","[4F] Darksteel Chamber"
"201300433","[4F] Training Chamber I"
"201300434","[4F] Training Chamber II"
"201300435","[4F] White Silver Chamber I"
"201300436","[4F] White Silver Chamber II"
"201300501","Magic Square 5F"
"201300502","[5F] Magic Stone Chamber I"
"201300503","[5F] Magic Stone Chamber II"
"201300504","[5F] Magic Stone Chamber III"
"201300505","[5F] Enhancement Chamber"
"201300506","[5F] Enhancement Chamber"
"201300507","[5F] Enhancement Chamber"
"201300508","[5F] Experience Chamber I"
"201300509","[5F] Experience Chamber II"
"201300510","[5F] Experience Chamber III"
"201300511","[5F] Gold Chamber I"
"201300512","[5F] Gold Chamber II"
"201300513","[5F] Gold Chamber III"
"201300514","[5F] Mining Chamber"
"201300515","[5F] Mining Chamber"
"201300516","[5F] Mining Chamber"
"201300517","[5F] Gathering Chamber"
"201300518","[5F] Gathering Chamber"
"201300519","[5F] Gathering Chamber"
"201300520","[5F] Energy Chamber"
"201300521","[5F] Energy Chamber"
"201300522","[5F] Leader's Chamber III"
"201300523","[5F] Leader's Chamber II"
"201300524","[5F] Leader's Chamber I"
"201300525","[5F] Treasure Chamber"
"201300526","[5F] Trade Chamber"
"201300527","[5F] Protection Chamber"
"201300528","[5F] Sealing Chamber"
"201300529","[5F] Demon's Chamber"
"201300530","[5F] Cooperation Chamber"
"201300531","[5F] Darksteel Chamber"
"201300532","[5F] Darksteel Chamber"
"201300533","[5F] Training Chamber I"
"201300534","[5F] Training Chamber II"
"201300535","[5F] White Silver Chamber I"
"201300536","[5F] White Silver Chamber II"
"201300601","Magic Square 6F"
"201300602","[6F] Magic Stone Chamber I"
"201300603","[6F] Magic Stone Chamber II"
"201300604","[6F] Magic Stone Chamber III"
"201300605","[6F] Antidemon Chamber"
"201300606","[6F] Antidemon Chamber"
"201300607","[6F] Antidemon Chamber"
"201300608","[6F] Experience Chamber I"
"201300609","[6F] Experience Chamber II"
"201300610","[6F] Experience Chamber III"
"201300611","[6F] Gold Chamber I"
"201300612","[6F] Gold Chamber II"
"201300613","[6F] Gold Chamber III"
"201300614","[6F] Mining Chamber"
"201300615","[6F] Mining Chamber"
"201300616","[6F] Mining Chamber"
"201300617","[6F] Gathering Chamber"
"201300618","[6F] Gathering Chamber"
"201300619","[6F] Gathering Chamber"
"201300620","[6F] Energy Chamber"
"201300621","[6F] Energy Chamber"
"201300622","[6F] Leader's Chamber III"
"201300623","[6F] Leader's Chamber II"
"201300624","[6F] Leader's Chamber I"
"201300625","[6F] Treasure Chamber"
"201300626","[6F] Trade Chamber"
"201300627","[6F] Protection Chamber"
"201300628","[6F] Sealing Chamber"
"201300629","[6F] Demon's Chamber"
"201300630","[6F] Cooperation Chamber"
"201300631","[6F] Darksteel Chamber"
"201300632","[6F] Darksteel Chamber"
"201300633","[6F] Training Chamber I"
"201300634","[6F] Training Chamber II"
"201300635","[6F] White Silver Chamber I"
"201300636","[6F] White Silver Chamber II"
"201300701","Magic Square 7F"
"201300702","[7F] Magic Stone Chamber I"
"201300703","[7F] Magic Stone Chamber II"
"201300704","[7F] Magic Stone Chamber III"
"201300705","[7F] Antidemon Chamber"
"201300706","[7F] Antidemon Chamber"
"201300707","[7F] Antidemon Chamber"
"201300708","[7F] Experience Chamber I"
"201300709","[7F] Experience Chamber II"
"201300710","[7F] Experience Chamber III"
"201300711","[7F] Gold Chamber I"
"201300712","[7F] Gold Chamber II"
"201300713","[7F] Gold Chamber III"
"201300714","[7F] Mining Chamber"
"201300715","[7F] Mining Chamber"
"201300716","[7F] Mining Chamber"
"201300717","[7F] Gathering Chamber"
"201300718","[7F] Gathering Chamber"
"201300719","[7F] Gathering Chamber"
"201300720","[7F] Energy Chamber"
"201300721","[7F] Energy Chamber"
"201300722","[7F] Leader's Chamber III"
"201300723","[7F] Leader's Chamber II"
"201300724","[7F] Leader's Chamber I"
"201300725","[7F] Treasure Chamber"
"201300726","[7F] Trade Chamber"
"201300727","[7F] Protection Chamber"
"201300728","[7F] Sealing Chamber"
"201300729","[7F] Demon's Chamber"
"201300730","[7F] Cooperation Chamber"
"201300731","[7F] Darksteel Chamber"
"201300732","[7F] Darksteel Chamber"
"201300733","[7F] Training Chamber I"
"201300734","[7F] Training Chamber II"
"201300735","[7F] White Silver Chamber I"
"201300736","[7F] White Silver Chamber II"
"201300801","Magic Square 8F"
"201300802","[8F] Magic Stone Chamber I"
"201300803","[8F] Magic Stone Chamber II"
"201300804","[8F] Magic Stone Chamber III"
"201300805","[8F] Antidemon Chamber"
"201300806","[8F] Antidemon Chamber"
"201300807","[8F] Antidemon Chamber"
"201300808","[8F] Experience Chamber I"
"201300809","[8F] Experience Chamber II"
"201300810","[8F] Experience Chamber III"
"201300811","[8F] Gold Chamber I"
"201300812","[8F] Gold Chamber II"
"201300813","[8F] Gold Chamber III"
"201300814","[8F] Mining Chamber"
"201300815","[8F] Mining Chamber"
"201300816","[8F] Mining Chamber"
"201300817","[8F] Gathering Chamber"
"201300818","[8F] Gathering Chamber"
"201300819","[8F] Gathering Chamber"
"201300820","[8F] Energy Chamber"
"201300821","[8F] Energy Chamber"
"201300822","[8F] Leader's Chamber III"
"201300823","[8F] Leader's Chamber II"
"201300824","[8F] Leader's Chamber I"
"201300825","[8F] Treasure Chamber"
"201300826","[8F] Trade Chamber"
"201300827","[8F] Protection Chamber"
"201300828","[8F] Sealing Chamber"
"201300829","[8F] Demon's Chamber"
"201300830","[8F] Cooperation Chamber"
"201300831","[8F] Darksteel Chamber"
"201300832","[8F] Darksteel Chamber"
"201300833","[8F] Training Chamber I"
"201300834","[8F] Training Chamber II"
"201300835","[8F] White Silver Chamber I"
"201300836","[8F] White Silver Chamber II"
"201300901","Magic Square 9F"
"201300902","[9F] Magic Stone Chamber I"
"201300903","[9F] Magic Stone Chamber II"
"201300904","[9F] Magic Stone Chamber III"
"201300905","[9F] Antidemon Chamber"
"201300906","[9F] Antidemon Chamber"
"201300907","[9F] Antidemon Chamber"
"201300908","[9F] Experience Chamber I"
"201300909","[9F] Experience Chamber II"
"201300910","[9F] Experience Chamber III"
"201300911","[9F] Gold Chamber I"
"201300912","[9F] Gold Chamber II"
"201300913","[9F] Gold Chamber III"
"201300914","[9F] Mining Chamber"
"201300915","[9F] Mining Chamber"
"201300916","[9F] Mining Chamber"
"201300917","[9F] Gathering Chamber"
"201300918","[9F] Gathering Chamber"
"201300919","[9F] Gathering Chamber"
"201300920","[9F] Energy Chamber"
"201300921","[9F] Energy Chamber"
"201300922","[9F] Leader's Chamber III"
"201300923","[9F] Leader's Chamber II"
"201300924","[9F] Leader's Chamber I"
"201300925","[9F] Treasure Chamber"
"201300926","[9F] Trade Chamber"
"201300927","[9F] Protection Chamber"
"201300928","[9F] Sealing Chamber"
"201300929","[9F] Demon's Chamber"
"201300930","[9F] Cooperation Chamber"
"201300931","[9F] Darksteel Chamber"
"201300932","[9F] Darksteel Chamber"
"201300933","[9F] Training Chamber I"
"201300934","[9F] Training Chamber II"
"201300935","[9F] White Silver Chamber I"
"201300936","[9F] White Silver Chamber II"
"201301001","Magic Square 10F"
"201301002","[10F] Magic Stone Chamber I"
"201301003","[10F] Magic Stone Chamber II"
"201301004","[10F] Magic Stone Chamber III"
"201301005","[10F] Antidemon Chamber"
"201301006","[10F] Experience Chamber I"
"201301007","[10F] Experience Chamber II"
"201301008","[10F] Experience Chamber III"
"201301009","[10F] Gold Chamber I"
"201301010","[10F] Gold Chamber II"
"201301011","[10F] Gold Chamber III"
"201301012","[10F] Mining Chamber"
"201301013","[10F] Gathering Chamber"
"201301014","[10F] Energy Chamber"
"201301015","[10F] Leader's Chamber III"
"201301016","[10F] Leader's Chamber II"
"201301017","[10F] Leader's Chamber I"
"201301018","[10F] Treasure Chamber"
"201301019","[10F] Protection Chamber"
"201301020","[10F] Sealing Chamber"
"201301021","[10F] Demon's Chamber"
"201301022","[10F] Cooperation Chamber"
"201301023","[10F] Darksteel Chamber"
"201301024","[10F] Training Chamber I"
"201301025","[10F] Training Chamber II"
"201301026","[10F] White Silver Chamber I"
"201301027","[10F] White Silver Chamber II"
"201400001","Secret Peak 1F"
"201400002","Secret Peak 2F"
"201400003","Secret Peak 3F"
"201400004","Secret Peak 4F"
"201400005","Secret Peak 5F"
"201400006","Secret Peak 6F"
"201400007","Secret Peak 7F"
"201400008","Secret Peak 8F"
"201400009","Secret Peak 9F"
"201400010","Secret Peak 10F"
"201500010","Tower of Black Dragon 1F"
"201500020","Tower of Black Dragon 2F"
"201500030","Tower of Black Dragon 3F"
"201500040","Tower of Black Dragon 4F"
"201510013","Bicheon Valley Secret Passage 1-1"
"201510014","Bicheon Valley Secret Passage 1-2"
"201510015","Bicheon Valley Secret Passage 1-3"
"201510016","Bicheon Valley Secret Passage 2-1"
"201510017","Bicheon Valley Secret Passage 2-2"
"201510018","Bicheon Valley Hidden Passage 2"
"201510019","Bicheon Valley Secret Passage 3-1"
"201510020","Bicheon Valley Secret Passage 3-2"
"201510021","Bicheon Valley Secret Passage 3-3"
"201510025","Snake Valley Secret Passage 1-1"
"201510026","Snake Valley Secret Passage 1-2"
"201510027","Snake Valley Secret Passage 1-3"
"201510028","Snake Valley Secret Passage 2-1"
"201510029","Snake Valley Secret Passage 2-2"
"201510030","Snake Valley Hidden Passage 2"
"201510031","Snake Valley Secret Passage 3-1"
"201510032","Snake Valley Secret Passage 3-2"
"201510033","Snake Valley Secret Passage 3-3"
"201510037","Redmoon Valley Secret Passage 1-1"
"201510038","Redmoon Valley Secret Passage 1-2"
"201510039","Redmoon Valley Secret Passage 1-3"
"201510040","Redmoon Valley Secret Passage 2-1"
"201510041","Redmoon Valley Secret Passage 2-2"
"201510042","Redmoon Valley Secret Passage 2-3"
"201510043","Redmoon Valley Secret Passage 3-1"
"201510044","Redmoon Valley Secret Passage 3-2"
"201510045","Redmoon Valley Secret Passage 3-3"
"201510100","Phantasia Valley Secret Passage 1-1"
"201510101","Phantasia Valley Secret Passage 1-2"
"201510102","Phantasia Valley Secret Passage 1-3"
"201510103","Phantasia Valley Secret Passage 2-1"
"201510104","Phantasia Valley Secret Passage 2-2"
"201510105","Phantasia Valley Secret Passage 2-3"
"201510106","Phantasia Valley Secret Passage 3-1"
"201510107","Phantasia Valley Secret Passage 3-2"
